job_male,job_female,similarity,job_male_ratio,job_female_ratio
Cost estimator,Biological scientist,0.7392578125,17.7,55.0
Cost estimator,Medical appliance technician,0.7392578125,17.7,58.9
Management analyst,Fast food and counter worker,0.7392578125,46.6,66.3
Financial and investment analyst,Secondary school teacher,0.7392578125,43.9,56.9
Computer support specialist,Occupational therapist,0.7392578125,26.2,88.6
Computer support specialist,Housekeeping cleaner,0.7392578125,26.2,88.4
Database administrator,Veterinarian,0.7392578125,30.8,69.1
Mechanical engineer,First-line supervisor of office and administrative support workers,0.7392578125,10.1,65.8
Surveying and mapping technician,Surgical technologist,0.7392578125,12.0,76.9
Director,Teaching assistant,0.7392578125,43.6,79.5
Director,Skincare specialist,0.7392578125,43.6,99.0
Chiropractor,File Clerk,0.7392578125,41.1,76.0
Surgeon,Animal caretaker,0.7392578125,20.0,76.0
First-line supervisor of firefighting and prevention workers,Operations research analyst,0.7392578125,6.1,55.0
First-line supervisor of security workers,Housekeeping cleaner,0.7392578125,22.5,88.4
Correctional officer,School psychologist,0.7392578125,33.9,87.9
Cafeteria attendant,Artist,0.7392578125,43.3,51.6
Building cleaner,Biological scientist,0.7392578125,38.7,55.0
Tour guide,Graphic designer,0.7392578125,48.2,54.7
First-line supervisor of retail sales workers,Veterinary technician,0.7392578125,44.6,89.9
Transportation ticket agent,Public safety telecommunicator,0.7392578125,45.9,78.2
Postal service mail carrier,Veterinary technician,0.7392578125,34.7,89.9
Miscellaneous agricultural worker,Biological scientist,0.7392578125,28.7,55.0
Construction laborer,Physical therapist assistant,0.7392578125,4.5,68.7
Construction equipment operator,Medical secretary,0.7392578125,1.0,92.8
Electrician,Paralegal,0.7392578125,2.9,83.0
Construction and building inspector,Tax preparer,0.7392578125,10.5,66.3
Truck mechanic,Interior designer,0.7392578125,1.6,85.3
Truck mechanic,Registered nurse,0.7392578125,1.6,87.4
Truck mechanic,Medical records specialist,0.7392578125,1.6,88.9
Telecommunication line installer,Compliance officer,0.7392578125,5.3,51.8
First-line supervisor of production and operating workers,Radiologic technician,0.7392578125,23.5,70.3
Computer numerically controlled tool operator,Veterinary assistant,0.7392578125,7.8,79.6
Boiler operator,Human resources manager,0.7392578125,7.1,76.5
Precious stone worker,Food preparation worker,0.7392578125,46.0,58.7
Painting worker,Housekeeping cleaner,0.7392578125,11.3,88.4
Supervisor of transportation and material moving workers,Childcare administrator,0.7392578125,25.5,68.6
Truck driver,Receptionist,0.7392578125,6.9,89.1
Industrial truck and tractor operator,Licensed practical nurse,0.7392578125,9.5,88.7
Operation manager,Floral designer,0.73876953125,37.1,89.1
Computer systems manager,First-line supervisor of food preparation and serving workers,0.73876953125,27.7,53.5
Food service manager,Media collections specialist,0.73876953125,46.7,82.5
Logistician,Occupational therapist,0.73876953125,38.7,88.6
Logistician,Cashier,0.73876953125,38.7,69.8
Property assessor,Skincare specialist,0.73876953125,34.2,99.0
Financial and investment analyst,Fundraiser,0.73876953125,43.9,74.9
Personal financial advisor,Housekeeping cleaner,0.73876953125,32.6,88.4
Personal financial advisor,Medical appliance technician,0.73876953125,32.6,58.9
Computer systems analyst,Licensed practical nurse,0.73876953125,37.8,88.7
Computer programmer,Administrative services manager,0.73876953125,21.5,74.0
Computer programmer,Psychiatric aide,0.73876953125,21.5,53.5
Software developer,Bartender,0.73876953125,20.2,50.8
Web developer,First-line supervisor of food preparation and serving workers,0.73876953125,19.4,53.5
Web developer,Housekeeping cleaner,0.73876953125,19.4,88.4
Web and digital interface designer,Legal secretary,0.73876953125,42.7,96.4
Computer support specialist,Travel agent,0.73876953125,26.2,79.7
Computer network architect,Mental health counselor,0.73876953125,7.7,74.6
Aerospace engineer,Skincare specialist,0.73876953125,15.2,99.0
Mechanical engineer,Flight attendant,0.73876953125,10.1,78.0
Chemists and materials scientist,Nurse practitioner,0.73876953125,36.0,89.8
Clergy,Accountant,0.73876953125,21.4,57.0
Coach,Interior designer,0.73876953125,40.9,85.3
Photographer,Travel agent,0.73876953125,48.5,79.7
Surgeon,Travel agent,0.73876953125,20.0,79.7
Paramedic,Medical and health services manager,0.73876953125,29.5,71.8
Paramedic,Graphic designer,0.73876953125,29.5,54.7
First-line supervisor of police and detectives,Real estate broker,0.73876953125,10.5,57.0
First-line supervisor of firefighting and prevention workers,Training and development specialist,0.73876953125,6.1,56.7
First-line supervisor of security workers,Accountant,0.73876953125,22.5,57.0
First-line supervisor of security workers,Legal secretary,0.73876953125,22.5,96.4
Criminal investigator,Administrative services manager,0.73876953125,26.3,74.0
Criminal investigator,Miscellaneous health technician,0.73876953125,26.3,72.7
Security guard,Loan interviewer,0.73876953125,24.9,76.9
Cook,Lodging manager,0.73876953125,39.8,61.6
Cafeteria attendant,Medical records specialist,0.73876953125,43.3,88.9
Landscaping and groundskeeping worker,Clinical laboratory technician,0.73876953125,7.3,76.3
Parts salesperson,Physical therapist,0.73876953125,22.9,67.5
Postal service mail carrier,Biological scientist,0.73876953125,34.7,55.0
Postal service mail carrier,Special education teacher,0.73876953125,34.7,86.6
First-line supervisor of construction trades and extraction workers,Food preparation worker,0.73876953125,5.1,58.7
First-line supervisor of construction trades and extraction workers,Customer service representative,0.73876953125,5.1,65.3
Painter,Animal caretaker,0.73876953125,10.4,76.0
Sheet metal worker,Sewing machine operator,0.73876953125,6.5,70.7
Aircraft mechanic,Psychiatric aide,0.73876953125,4.3,53.5
Electrical power-line installer,Graphic designer,0.73876953125,2.3,54.7
First-line supervisor of production and operating workers,Childcare worker,0.73876953125,23.5,93.8
Computer numerically controlled tool operator,Order clerk,0.73876953125,7.8,58.3
Printing press operator,Loan officer,0.73876953125,24.7,51.6
Printing press operator,Recreation worker,0.73876953125,24.7,58.9
Boiler operator,Marketing specialist,0.73876953125,7.1,61.7
Boiler operator,Public safety telecommunicator,0.73876953125,7.1,78.2
Wastewater treatment system operator,Teaching assistant,0.73876953125,7.3,79.5
Cutting worker,Speech-language pathologist,0.73876953125,31.1,94.3
Supervisor of transportation and material moving workers,Public safety telecommunicator,0.73876953125,25.5,78.2
Truck driver,Translator,0.73876953125,6.9,74.4
Truck driver,Insurance sales agent,0.73876953125,6.9,54.9
Parking attendant,Medical secretary,0.73876953125,13.5,92.8
Industrial truck and tractor operator,Nursing assistant,0.73876953125,9.5,90.1
Stocker,Healthcare social worker,0.73876953125,36.5,77.9
Chief executive,Housekeeping cleaner,0.73828125,30.6,88.4
Operation manager,Speech-language pathologist,0.73828125,37.1,94.3
Operation manager,Baker,0.73828125,37.1,65.5
Sales manager,Floral designer,0.73828125,33.1,89.1
Computer systems manager,Animal caretaker,0.73828125,27.7,76.0
Architectural and engineering manager,Flight attendant,0.73828125,12.8,78.0
Food service manager,Dental hygienist,0.73828125,46.7,95.7
Cost estimator,Special education teacher,0.73828125,17.7,86.6
Property assessor,Sewing machine operator,0.73828125,34.2,70.7
Financial and investment analyst,Massage therapist,0.73828125,43.9,83.7
Computer programmer,Medical assistant,0.73828125,21.5,88.8
Computer support specialist,Psychiatric aide,0.73828125,26.2,53.5
Computer network architect,Teaching assistant,0.73828125,7.7,79.5
Aerospace engineer,School psychologist,0.73828125,15.2,87.9
Chemical engineer,Dental hygienist,0.73828125,21.6,95.7
Civil engineer,Nursing assistant,0.73828125,16.9,90.1
Computer hardware engineer,Skincare specialist,0.73828125,5.9,99.0
Electrical and electronic engineering technician,Fast food and counter worker,0.73828125,11.6,66.3
Chemists and materials scientist,Registered nurse,0.73828125,36.0,87.4
Chemical technician,Translator,0.73828125,35.0,74.4
Clergy,Biological scientist,0.73828125,21.4,55.0
Clergy,Pharmacist,0.73828125,21.4,57.8
Lawyer,Exercise trainer,0.73828125,39.5,56.7
Director,Administrative services manager,0.73828125,43.6,74.0
Coach,Human resources manager,0.73828125,40.9,76.5
Photographer,Healthcare social worker,0.73828125,48.5,77.9
Paramedic,Marketing manager,0.73828125,29.5,62.4
Firefighter,Medical scientist,0.73828125,3.9,51.8
Criminal investigator,Healthcare social worker,0.73828125,26.3,77.9
Private detective,Receptionist,0.73828125,43.0,89.1
Cook,Order clerk,0.73828125,39.8,58.3
Building cleaner,Financial manager,0.73828125,38.7,56.2
Pest control worker,Public safety telecommunicator,0.73828125,5.1,78.2
Barber,Tutor,0.73828125,28.4,70.4
Tour guide,Recreation worker,0.73828125,48.2,58.9
First-line supervisor of retail sales workers,Artist,0.73828125,44.6,51.6
First-line supervisor of non-retail sales workers,Phlebotomist,0.73828125,35.9,90.3
Messenger,Marketing manager,0.73828125,27.8,62.4
Miscellaneous agricultural worker,Veterinary assistant,0.73828125,28.7,79.6
First-line supervisor of construction trades and extraction workers,Human resources manager,0.73828125,5.1,76.5
Painter,Marketing specialist,0.73828125,10.4,61.7
Telecommunication equipment installer,Fast food and counter worker,0.73828125,5.9,66.3
Aircraft mechanic,Home health aide,0.73828125,4.3,87.2
Truck mechanic,Mental health counselor,0.73828125,1.6,74.6
Truck mechanic,Physical therapist assistant,0.73828125,1.6,68.7
Boiler operator,Customer service representative,0.73828125,7.1,65.3
Wastewater treatment system operator,Animal caretaker,0.73828125,7.3,76.0
Aircraft pilot,Animal caretaker,0.73828125,8.3,76.0
Truck driver,Waiter,0.73828125,6.9,68.8
Parking attendant,Entertainment and recreation manager,0.73828125,13.5,50.1
Parking attendant,Real estate broker,0.73828125,13.5,57.0
Transportation service attendant,Skincare specialist,0.73828125,23.4,99.0
Chief executive,Psychiatric technician,0.73779296875,30.6,69.5
Operation manager,Surgical technologist,0.73779296875,37.1,76.9
Computer systems manager,Massage therapist,0.73779296875,27.7,83.7
Computer systems analyst,Special education teacher,0.73779296875,37.8,86.6
Software quality tester,Childcare worker,0.73779296875,44.1,93.8
Network and computer systems administrator,Veterinary technician,0.73779296875,16.7,89.9
Chemical engineer,Floral designer,0.73779296875,21.6,89.1
Civil engineer,Licensed practical nurse,0.73779296875,16.9,88.7
Computer hardware engineer,Secondary school teacher,0.73779296875,5.9,56.9
Electrical and electronics engineer,Phlebotomist,0.73779296875,11.6,90.3
Materials engineer,Food batchmaker,0.73779296875,13.5,55.7
Mechanical engineer,First-line supervisor of food preparation and serving workers,0.73779296875,10.1,53.5
Mechanical engineer,Fast food and counter worker,0.73779296875,10.1,66.3
Electrical and electronic engineering technician,Media collections specialist,0.73779296875,11.6,82.5
Surveying and mapping technician,Licensed practical nurse,0.73779296875,12.0,88.7
Surveying and mapping technician,Skincare specialist,0.73779296875,12.0,99.0
Occupational health and safety specialist,Preschool and kindergarten teacher,0.73779296875,17.9,96.7
Lawyer,Physical therapist assistant,0.73779296875,39.5,68.7
Postsecondary teacher,Media collections specialist,0.73779296875,46.6,82.5
Postsecondary teacher,Fast food and counter worker,0.73779296875,46.6,66.3
Director,Customer service representative,0.73779296875,43.6,65.3
Coach,Physician assistant,0.73779296875,40.9,68.8
Photographer,Loan interviewer,0.73779296875,48.5,76.9
Surgeon,Special education teacher,0.73779296875,20.0,86.6
Paramedic,Social and community service manager,0.73779296875,29.5,71.7
First-line supervisor of correctional officers,Probation officer,0.73779296875,35.9,57.4
First-line supervisor of firefighting and prevention workers,Physician assistant,0.73779296875,6.1,68.8
First-line supervisor of firefighting and prevention workers,Childcare worker,0.73779296875,6.1,93.8
Firefighter,Author,0.73779296875,3.9,53.8
Correctional officer,Biological scientist,0.73779296875,33.9,55.0
Private detective,Special education teacher,0.73779296875,43.0,86.6
Cook,First-line supervisor of food preparation and serving workers,0.73779296875,39.8,53.5
First-line supervisor of housekeeping and janitorial workers,Compliance officer,0.73779296875,44.1,51.8
Building cleaner,Medical scientist,0.73779296875,38.7,51.8
Pest control worker,Occupational therapist,0.73779296875,5.1,88.6
Barber,Dental hygienist,0.73779296875,28.4,95.7
First-line supervisor of non-retail sales workers,Medical scientist,0.73779296875,35.9,51.8
First-line supervisor of non-retail sales workers,Travel agent,0.73779296875,35.9,79.7
Counter and rental clerk,Veterinary assistant,0.73779296875,38.7,79.6
Postal service mail carrier,Insurance underwriter,0.73779296875,34.7,56.9
Miscellaneous agricultural worker,First-line supervisor of food preparation and serving workers,0.73779296875,28.7,53.5
Miscellaneous agricultural worker,Fast food and counter worker,0.73779296875,28.7,66.3
Construction laborer,Loan interviewer,0.73779296875,4.5,76.9
Electrician,Food preparation worker,0.73779296875,2.9,58.7
Aircraft mechanic,Childcare administrator,0.73779296875,4.3,68.6
Automotive service mechanic,Loan interviewer,0.73779296875,2.5,76.9
Truck mechanic,File Clerk,0.73779296875,1.6,76.0
Computer numerically controlled tool operator,Lodging manager,0.73779296875,7.8,61.6
Printing press operator,Tax preparer,0.73779296875,24.7,66.3
Shuttle driver,Travel agent,0.73779296875,10.7,79.7
Parking attendant,Laundry worker,0.73779296875,13.5,74.5
Industrial truck and tractor operator,Fast food and counter worker,0.73779296875,9.5,66.3
Cleaner of vehicle and equipment,Medical and health services manager,0.73779296875,20.4,71.8
Operation manager,Licensed practical nurse,0.7373046875,37.1,88.7
Operation manager,Food batchmaker,0.7373046875,37.1,55.7
Construction manager,Dental hygienist,0.7373046875,10.6,95.7
Logistician,Graphic designer,0.7373046875,38.7,54.7
Software quality tester,Respiratory therapist,0.7373046875,44.1,62.4
Network and computer systems administrator,Filling machine operator,0.7373046875,16.7,57.3
Aerospace engineer,Psychiatric aide,0.7373046875,15.2,53.5
Aerospace engineer,Travel agent,0.7373046875,15.2,79.7
Chemical engineer,Flight attendant,0.7373046875,21.6,78.0
Computer hardware engineer,Exercise trainer,0.7373046875,5.9,56.7
Materials engineer,Tutor,0.7373046875,13.5,70.4
Materials engineer,Fast food and counter worker,0.7373046875,13.5,66.3
Lawyer,Recreation worker,0.7373046875,39.5,58.9
Actor,Paralegal,0.7373046875,47.0,83.0
Chiropractor,Insurance underwriter,0.7373046875,41.1,56.9
Surgeon,Diagnostic medical sonographer,0.7373046875,20.0,76.1
Surgeon,File Clerk,0.7373046875,20.0,76.0
Criminal investigator,Legal secretary,0.7373046875,26.3,96.4
Police officer,Interior designer,0.7373046875,14.4,85.3
Building cleaner,Animal caretaker,0.7373046875,38.7,76.0
First-line supervisor of non-retail sales workers,Skincare specialist,0.7373046875,35.9,99.0
Retail salesperson,Phlebotomist,0.7373046875,49.2,90.3
Transportation ticket agent,Special education teacher,0.7373046875,45.9,86.6
Transportation ticket agent,Supervisor of personal care and service workers,0.7373046875,45.9,65.8
Postal service mail carrier,Compliance officer,0.7373046875,34.7,51.8
First-line supervisor of construction trades and extraction workers,Marketing specialist,0.7373046875,5.1,61.7
Construction laborer,Supervisor of personal care and service workers,0.7373046875,4.5,65.8
Construction equipment operator,Probation officer,0.7373046875,1.0,57.4
Electrician,Healthcare social worker,0.7373046875,2.9,77.9
Construction and building inspector,Medical appliance technician,0.7373046875,10.5,58.9
Telecommunication equipment installer,Mental health counselor,0.7373046875,5.9,74.6
Telecommunication equipment installer,Home health aide,0.7373046875,5.9,87.2
Truck mechanic,Occupational therapist,0.7373046875,1.6,88.6
Refractory machinery mechanic,Administrative services manager,0.7373046875,3.9,74.0
Computer numerically controlled tool operator,Nursing assistant,0.7373046875,7.8,90.1
Computer numerically controlled tool operator,Billing and posting clerk,0.7373046875,7.8,91.4
Printing press operator,Teaching assistant,0.7373046875,24.7,79.5
Supervisor of transportation and material moving workers,Sewing machine operator,0.7373046875,25.5,70.7
Cleaner of vehicle and equipment,Social and human service assistant,0.7373046875,20.4,75.3
Operation manager,Cashier,0.73681640625,37.1,69.8
Computer systems manager,Veterinarian,0.73681640625,27.7,69.1
Computer systems manager,Housekeeping cleaner,0.73681640625,27.7,88.4
Training and development manager,Housekeeping cleaner,0.73681640625,48.0,88.4
Industrial production manager,Dental hygienist,0.73681640625,19.1,95.7
Management analyst,Bartender,0.73681640625,46.6,50.8
Financial and investment analyst,Housekeeping cleaner,0.73681640625,43.9,88.4
Computer systems analyst,Postal service clerk,0.73681640625,37.8,54.1
Computer programmer,Loan interviewer,0.73681640625,21.5,76.9
Database administrator,Massage therapist,0.73681640625,30.8,83.7
Computer network architect,Order clerk,0.73681640625,7.7,58.3
Aerospace engineer,Sewing machine operator,0.73681640625,15.2,70.7
Civil engineer,Radiologic technician,0.73681640625,16.9,70.3
Civil engineer,Housekeeping cleaner,0.73681640625,16.9,88.4
Electrical and electronics engineer,Probation officer,0.73681640625,11.6,57.4
Electrical and electronics engineer,Nutritionist,0.73681640625,11.6,86.3
Electrical and electronics engineer,Veterinary assistant,0.73681640625,11.6,79.6
Materials engineer,Preschool and kindergarten teacher,0.73681640625,13.5,96.7
Materials engineer,Phlebotomist,0.73681640625,13.5,90.3
Mechanical engineer,Insurance claims and policy processing clerk,0.73681640625,10.1,80.1
Chemists and materials scientist,Healthcare social worker,0.73681640625,36.0,77.9
Chemists and materials scientist,Medical assistant,0.73681640625,36.0,88.8
Lawyer,Elementary and middle school teacher,0.73681640625,39.5,78.6
Actor,Probation officer,0.73681640625,47.0,57.4
Director,Loan officer,0.73681640625,43.6,51.6
Surgeon,Secondary school teacher,0.73681640625,20.0,56.9
First-line supervisor of police and detectives,Public relations specialist,0.73681640625,10.5,76.2
First-line supervisor of police and detectives,Insurance sales agent,0.73681640625,10.5,54.9
Private detective,File Clerk,0.73681640625,43.0,76.0
Security guard,Nutritionist,0.73681640625,24.9,86.3
Chef,Medical scientist,0.73681640625,23.3,51.8
Cook,Administrative services manager,0.73681640625,39.8,74.0
Cafeteria attendant,Advertising sales agent,0.73681640625,43.3,52.7
Building cleaner,Advertising sales agent,0.73681640625,38.7,52.7
Building cleaner,Customer service representative,0.73681640625,38.7,65.3
Pest control worker,Personal care aide,0.73681640625,5.1,79.8
Gambling services worker,Interior designer,0.73681640625,40.2,85.3
Tour guide,Human resources manager,0.73681640625,48.2,76.5
First-line supervisor of retail sales workers,Housekeeping cleaner,0.73681640625,44.6,88.4
First-line supervisor of non-retail sales workers,Legal secretary,0.73681640625,35.9,96.4
Postal service mail carrier,Marketing specialist,0.73681640625,34.7,61.7
Postal service mail carrier,Medical secretary,0.73681640625,34.7,92.8
Miscellaneous agricultural worker,Accountant,0.73681640625,28.7,57.0
Construction laborer,Paralegal,0.73681640625,4.5,83.0
Construction laborer,First-line supervisor of food preparation and serving workers,0.73681640625,4.5,53.5
Roofer,Human resources worker,0.73681640625,4.4,76.5
Roofer,Animal caretaker,0.73681640625,4.4,76.0
Construction and building inspector,Paralegal,0.73681640625,10.5,83.0
Electrical power-line installer,Order clerk,0.73681640625,2.3,58.3
Boiler operator,Social and human service assistant,0.73681640625,7.1,75.3
Boiler operator,Supervisor of personal care and service workers,0.73681640625,7.1,65.8
Cutting worker,Licensed practical nurse,0.73681640625,31.1,88.7
Cutting worker,Animal caretaker,0.73681640625,31.1,76.0
Aircraft pilot,Loan officer,0.73681640625,8.3,51.6
Aircraft pilot,Interior designer,0.73681640625,8.3,85.3
Aircraft pilot,Speech-language pathologist,0.73681640625,8.3,94.3
Truck driver,Medical and health services manager,0.73681640625,6.9,71.8
Truck driver,Travel agent,0.73681640625,6.9,79.7
Shuttle driver,Financial manager,0.73681640625,10.7,56.2
Stocker,Loan interviewer,0.73681640625,36.5,76.9
Chief executive,Teaching assistant,0.736328125,30.6,79.5
Computer systems manager,Elementary and middle school teacher,0.736328125,27.7,78.6
Cost estimator,Ophthalmic medical technician,0.736328125,17.7,73.7
Cost estimator,Miscellaneous health technician,0.736328125,17.7,72.7
Logistician,Food preparation worker,0.736328125,38.7,58.7
Property assessor,Biological scientist,0.736328125,34.2,55.0
Financial and investment analyst,Fast food and counter worker,0.736328125,43.9,66.3
Web developer,Fundraiser,0.736328125,19.4,74.9
Network and computer systems administrator,Interior designer,0.736328125,16.7,85.3
Aerospace engineer,Nursing assistant,0.736328125,15.2,90.1
Chemical technician,Personal care aide,0.736328125,35.0,79.8
Director,Nursing assistant,0.736328125,43.6,90.1
Coach,Entertainment and recreation manager,0.736328125,40.9,50.1
Photographer,Sewing machine operator,0.736328125,48.5,70.7
Dentist,Nursing assistant,0.736328125,39.5,90.1
Surgeon,Fundraiser,0.736328125,20.0,74.9
Paramedic,Skincare specialist,0.736328125,29.5,99.0
First-line supervisor of police and detectives,Paralegal,0.736328125,10.5,83.0
Criminal investigator,Training and development specialist,0.736328125,26.3,56.7
Police officer,Animal caretaker,0.736328125,14.4,76.0
Private detective,Paralegal,0.736328125,43.0,83.0
Security guard,Medical assistant,0.736328125,24.9,88.8
Cafeteria attendant,Lodging manager,0.736328125,43.3,61.6
First-line supervisor of housekeeping and janitorial workers,Loan officer,0.736328125,44.1,51.6
Gambling services worker,Phlebotomist,0.736328125,40.2,90.3
Tour guide,Fundraiser,0.736328125,48.2,74.9
First-line supervisor of retail sales workers,Biological scientist,0.736328125,44.6,55.0
First-line supervisor of non-retail sales workers,Occupational therapist,0.736328125,35.9,88.6
Transportation ticket agent,Cashier,0.736328125,45.9,69.8
Postal service mail carrier,Public relations specialist,0.736328125,34.7,76.2
Postal service mail carrier,Physical therapist,0.736328125,34.7,67.5
Construction laborer,Probation officer,0.736328125,4.5,57.4
Electrician,Travel agent,0.736328125,2.9,79.7
Painter,Advertising sales agent,0.736328125,10.4,52.7
Painter,Real estate broker,0.736328125,10.4,57.0
Aircraft mechanic,First-line supervisor of food preparation and serving workers,0.736328125,4.3,53.5
Truck mechanic,Graphic designer,0.736328125,1.6,54.7
Machinist,Artist,0.736328125,6.3,51.6
Boiler operator,Insurance underwriter,0.736328125,7.1,56.9
Shuttle driver,Executive secretary,0.736328125,10.7,90.0
Industrial truck and tractor operator,Medical scientist,0.736328125,9.5,51.8
Stocker,Psychiatric technician,0.736328125,36.5,69.5
Chief executive,Registered nurse,0.73583984375,30.6,87.4
Facilities manager,Home health aide,0.73583984375,23.4,87.2
Facilities manager,Laundry worker,0.73583984375,23.4,74.5
Construction manager,Floral designer,0.73583984375,10.6,89.1
Cost estimator,Nutritionist,0.73583984375,17.7,86.3
Cost estimator,Housekeeping cleaner,0.73583984375,17.7,88.4
Logistician,Sewing machine operator,0.73583984375,38.7,70.7
Management analyst,Editor,0.73583984375,46.6,56.6
Computer programmer,Filling machine operator,0.73583984375,21.5,57.3
Software quality tester,Massage therapist,0.73583984375,44.1,83.7
Computer support specialist,Fundraiser,0.73583984375,26.2,74.9
Database administrator,Surgical technologist,0.73583984375,30.8,76.9
Database administrator,Skincare specialist,0.73583984375,30.8,99.0
Network and computer systems administrator,Medical scientist,0.73583984375,16.7,51.8
Network and computer systems administrator,Editor,0.73583984375,16.7,56.6
Aerospace engineer,Childcare administrator,0.73583984375,15.2,68.6
Chemical engineer,Travel agent,0.73583984375,21.6,79.7
Civil engineer,File Clerk,0.73583984375,16.9,76.0
Electrical and electronics engineer,Massage therapist,0.73583984375,11.6,83.7
Electrical and electronics engineer,Fast food and counter worker,0.73583984375,11.6,66.3
Electrical and electronic engineering technician,Massage therapist,0.73583984375,11.6,83.7
Lawyer,Insurance claims and policy processing clerk,0.73583984375,39.5,80.1
Director,Special education teacher,0.73583984375,43.6,86.6
Director,Physician assistant,0.73583984375,43.6,68.8
Photographer,Training and development specialist,0.73583984375,48.5,56.7
Photographer,Bartender,0.73583984375,48.5,50.8
Emergency medical technician,Housekeeping cleaner,0.73583984375,39.4,88.4
Emergency medical technician,Exercise trainer,0.73583984375,39.4,56.7
Firefighter,Pharmacist,0.73583984375,3.9,57.8
Criminal investigator,Radiologic technician,0.73583984375,26.3,70.3
Criminal investigator,Medical assistant,0.73583984375,26.3,88.8
Police officer,Veterinary assistant,0.73583984375,14.4,79.6
Private detective,Training and development specialist,0.73583984375,43.0,56.7
Private detective,Pharmacist,0.73583984375,43.0,57.8
Cook,Human resources manager,0.73583984375,39.8,76.5
Cook,Paralegal,0.73583984375,39.8,83.0
Cook,File Clerk,0.73583984375,39.8,76.0
First-line supervisor of housekeeping and janitorial workers,Mental health counselor,0.73583984375,44.1,74.6
Landscaping and groundskeeping worker,Medical secretary,0.73583984375,7.3,92.8
Gambling services worker,Surgical technologist,0.73583984375,40.2,76.9
Counter and rental clerk,Artist,0.73583984375,38.7,51.6
Parts salesperson,Recreation worker,0.73583984375,22.9,58.9
Miscellaneous agricultural worker,Paralegal,0.73583984375,28.7,83.0
Carpenter,Accountant,0.73583984375,3.1,57.0
Construction laborer,Medical records specialist,0.73583984375,4.5,88.9
Construction equipment operator,Artist,0.73583984375,1.0,51.6
Highway maintenance worker,Phlebotomist,0.73583984375,2.2,90.3
Aircraft mechanic,Loan officer,0.73583984375,4.3,51.6
Aircraft mechanic,Phlebotomist,0.73583984375,4.3,90.3
Aircraft mechanic,File Clerk,0.73583984375,4.3,76.0
Painting worker,Interior designer,0.73583984375,11.3,85.3
Aircraft pilot,Pharmacy technician,0.73583984375,8.3,79.3
Truck driver,Operations research analyst,0.73583984375,6.9,55.0
Parking attendant,Teaching assistant,0.73583984375,13.5,79.5
Transportation service attendant,Substance abuse and behavioral disorder counselor,0.73583984375,23.4,78.1
Chief executive,Physical therapist,0.7353515625,30.6,67.5
Training and development manager,Preschool and kindergarten teacher,0.7353515625,48.0,96.7
Construction manager,Laundry worker,0.7353515625,10.6,74.5
Food service manager,Phlebotomist,0.7353515625,46.7,90.3
Logistician,School psychologist,0.7353515625,38.7,87.9
Logistician,Nutritionist,0.7353515625,38.7,86.3
Computer programmer,Registered nurse,0.7353515625,21.5,87.4
Computer programmer,File Clerk,0.7353515625,21.5,76.0
Web developer,School psychologist,0.7353515625,19.4,87.9
Aerospace engineer,Floral designer,0.7353515625,15.2,89.1
Aerospace engineer,Dental assistant,0.7353515625,15.2,92.8
Chemical engineer,Fast food and counter worker,0.7353515625,21.6,66.3
Civil engineer,School psychologist,0.7353515625,16.9,87.9
Electrical and electronics engineer,Translator,0.7353515625,11.6,74.4
Electrical and electronics engineer,Dental assistant,0.7353515625,11.6,92.8
Mechanical engineer,Respiratory therapist,0.7353515625,10.1,62.4
Chemists and materials scientist,Supervisor of personal care and service workers,0.7353515625,36.0,65.8
Clergy,Marketing specialist,0.7353515625,21.4,61.7
Postsecondary teacher,Baker,0.7353515625,46.6,65.5
Actor,Physical therapist,0.7353515625,47.0,67.5
Coach,Healthcare social worker,0.7353515625,40.9,77.9
Photographer,File Clerk,0.7353515625,48.5,76.0
Surgeon,Radiologic technician,0.7353515625,20.0,70.3
Emergency medical technician,Fast food and counter worker,0.7353515625,39.4,66.3
First-line supervisor of firefighting and prevention workers,Medical records specialist,0.7353515625,6.1,88.9
First-line supervisor of firefighting and prevention workers,Physical therapist assistant,0.7353515625,6.1,68.7
First-line supervisor of security workers,Mental health counselor,0.7353515625,22.5,74.6
First-line supervisor of security workers,Interior designer,0.7353515625,22.5,85.3
Police officer,Bartender,0.7353515625,14.4,50.8
Police officer,Cashier,0.7353515625,14.4,69.8
Cafeteria attendant,Entertainment and recreation manager,0.7353515625,43.3,50.1
Cafeteria attendant,First-line supervisor of office and administrative support workers,0.7353515625,43.3,65.8
First-line supervisor of housekeeping and janitorial workers,Public safety telecommunicator,0.7353515625,44.1,78.2
Landscaping and groundskeeping worker,Nurse practitioner,0.7353515625,7.3,89.8
Tour guide,Medical scientist,0.7353515625,48.2,51.8
Counter and rental clerk,Psychiatric aide,0.7353515625,38.7,53.5
Transportation ticket agent,Housekeeping cleaner,0.7353515625,45.9,88.4
Electrician,Bartender,0.7353515625,2.9,50.8
Roofer,Loan officer,0.7353515625,4.4,51.6
Construction and building inspector,Nurse practitioner,0.7353515625,10.5,89.8
Telecommunication equipment installer,Teaching assistant,0.7353515625,5.9,79.5
Refractory machinery mechanic,Ophthalmic medical technician,0.7353515625,3.9,73.7
Electrical power-line installer,Compliance officer,0.7353515625,2.3,51.8
Telecommunication line installer,Respiratory therapist,0.7353515625,5.3,62.4
Computer numerically controlled tool operator,Dental hygienist,0.7353515625,7.8,95.7
